Name,Latitude,Longitude,Diameter
Deutsch,24.10,110.50,66.0
Dewar,-2.70,165.50,50.0
Diana,14.30,35.70,50.0
Diderot,-20.40,121.50,20.0
Dionysius,2.80,17.30,18.0
Diophantus,27.60,-34.30,17.0
Dirichlet,11.10,-151.40,47.0
Dobrovol'skiy,-12.80,129.70,38.0
Doerfel,-69.10,-107.90,68.0
Dollond,-10.40,14.40,11.0
Donati,-20.70,5.20,36.0
Donna,7.20,38.30,2.0
Donner,-31.40,98.00,58.0
Doppelmayer,-28.50,-41.40,63.0
Doppler,-12.60,-159.60,110.0
Douglass,35.90,-122.40,49.0
Dove,-46.70,31.50,30.0
Draper,17.60,-21.70,8.0
Drebbel,-40.90,-49.00,30.0
Dreyer,10.00,96.90,61.0
Drude,-38.50,-91.80,24.0
Dryden,-33.00,-155.20,51.0
Drygalski,-79.30,-84.90,149.0
Dubyago,4.40,70.00,51.0
Dufay,5.50,169.50,39.0
Dugan,64.20,103.30,50.0
Dunér,44.80,179.50,62.0
Dunthorne,-30.10,-31.60,15.0
Dyson,61.30,-121.20,63.0
Dziewulski,21.20,98.90,63.0
Eckert,17.30,58.30,2.0
Eddington,21.30,-72.20,118.0
Edison,25.00,99.10,62.0
Edith,-25.80,102.30,8.0
Egede,48.70,10.60,37.0
Ehrlich,40.90,-172.40,30.0
Eichstadt,-22.60,-78.30,49.0
Eijkman,-63.10,-143.00,54.0
Eimmart,24.00,64.80,46.0
Einstein,16.30,-88.70,198.0
Einthoven,-4.90,109.60,69.0
Elger,-35.30,-29.80,21.0
Ellerman,-25.30,-120.10,47.0
Ellison,55.10,-107.50,36.0
Elmer,-10.10,84.10,16.0
Elvey,8.80,-100.50,74.0
Emden,63.30,-177.30,111.0
Encke,4.60,-36.60,28.0
Endymion,53.90,57.00,123.0
Engel'gardt (Engelhardt),5.70,-159.00,43.0
Eötvös,-35.50,133.80,99.0
Epigenes,67.50,-4.60,55.0
Epimenides,-40.90,-30.20,27.0
Eppinger,-9.40,-25.70,6.0
Eratosthenes,14.50,-11.30,58.0
Erro,5.70,98.50,61.0
Esclangon,21.50,42.10,15.0
Esnault-Pelterie,47.70,-141.40,79.0
Espin,28.10,109.10,75.0
Euclides,-7.40,-29.50,11.0
Euctemon,76.40,31.30,62.0
Eudoxus,44.30,16.30,67.0
Euler,23.30,-29.20,27.0
Evans,-9.50,-133.50,67.0
Evdokimov,34.80,-153.00,50.0
Evershed,35.70,-159.50,66.0
Ewen,7.70,121.40,3.0
Fabbroni,18.70,29.20,10.0
Fabricius,-42.90,42.00,78.0
Fabry,42.90,100.70,184.0
Fahrenheit,13.10,61.70,6.0
Fairouz,-26.10,102.90,3.0
Falcon,20.40,30.30,0.0
Faraday,-42.40,8.70,69.0
Faustini,-87.30,77.00,39.0
Fauth,6.30,-20.10,12.0
Faye,-21.40,3.90,36.0
Fechner,-59.00,124.90,63.0
Fedorov,28.20,-37.00,6.0
Felix,28.20,-37.00,6.0
Fényi,-44.90,-105.10,38.0
Feoktistov,30.90,140.70,23.0
Fermat,-22.60,19.80,38.0
Fermi,-19.30,122.60,183.0
Fernelius,-38.10,4.90,65.0
Fersman,18.70,-126.00,151.0
Fesenkov,-23.20,135.10,35.0
