Name,Latitude,Longitude,Diameter
Zasyadko,3.90,94.20,11.0
Zeeman,-75.20,-133.60,190.0
Zelinskiy,-28.90,166.80,53.0
Zeno,45.20,72.90,65.0
Zernike,18.40,168.20,48.0
Zhiritskiy,-24.80,120.30,35.0
Zhukovskiy,7.80,-167.00,81.0
Zinner,26.60,-58.80,4.0
Zöllner,-8.00,18.90,47.0
Zsigmondy,59.70,-104.70,65.0
Zucchius,-61.40,-50.30,64.0
Zupus,-17.20,-52.30,38.0
Zwicky,-15.40,168.10,150.0
